"societies_society_name","societies_society_state","societies_society_city","societies_society_meeting_info","societies_society_meeting_location","societies_society_zip_code","societies_society_website","societies_society_website_url"
"Key West Orchid Society","Florida","Key West","3rd Sunday, monthly, 1:30 pm.","c/o Jay Pfahl","33040-5316","http://keywestorchidsociety.org","http://keywestorchidsociety.org/"
"Kona Daifukuji Orchid Club","Hawaii","KAILUA KONA","2nd Wednesday, monthly, 7:30 pm. Kona Daifutugi Orchid Club, Honalo, HI","c/o Carol Zakahi","96740-1511","http://kdoc.us/","http://kdoc.us/"
"Kona Orchid Society","Hawaii","Kailua Kona","Monthly, normally 1st Friday of the month. No meeting May, August, December. 6:00PM","Makua Lani Christian Academy","96740","http://www.konaorchidsociety.org/","http://www.konaorchidsociety.org/"
"Kunia Orchid Society","Hawaii","Mililani","First tuesday of the month. 7:00PM (Please call ahead before attending, as meetings may still be taking place over ZOOM.)","Mililani Ike Elementary","96789","www.kuniaorchidsociety.com","http://www.kuniaorchidsociety.com/"
"Lehigh Valley Orchid Society","Pennsylvania","","First Sunday, monthly, 1:30PM","","","https://www.facebook.com/groups/656985285021167/?ref=share","https://www.facebook.com/groups/656985285021167/?ref=share"
"Les Orchidophiles de Belgique - Bruxelles","Bruxelles-Capitale","Brussels","3rd Thursday, monthly, 7:30 pm., 145 Boulevard Desnet De Naeyer 1040 Brussels","147, Avenue du Paddock","1150","www.orchidbb.be","http://www.orchidbb.be/"
"Les Orchidophiles de Montreal","Québec","Montreal","1st Wednesday, monthly, 7:30 pm.","Succursale, Notre Dame de Grace","H4A 3P4","https://www.orchidophilesmontreal.com/","https://www.orchidophilesmontreal.com/"
"Les Orchidophiles de Quebec","Québec","CP Sheppard","3rd Monday, monthly, 7:00 pm.","CP 47069 Québec","G1S 4X1","www.orchidophilesdequebec.ca","http://www.orchidophilesdequebec.ca/"
"Lewis Ginter Botanical Garden","Virginia","Richmond","","Lewis Ginter Botanical Garden - Library","23228-4700","www.lewisginter.org","http://www.lewisginter.org/"
"Logan & District Orchid Society","State of Queensland","Logan Central, QSLD","","PO Box 411","4114","",""
"London Orchid Society","Ontario","London","Meeting Info: 3rd Sunday, monthly, except July and August, 2:00 p.m., DM Wickware Amphitheater, 850 Ave N. (S of Oxford), London, ON","London Orchid Society","N6J 1Y5","los.lon.imag.net","http://los.lon.imag.net/"
"Long Beach Amateur Orchid Society","California","Long Beach","2nd Monday, monthly, 7:00PM. The yearly auction is the 2nd Monday in March and there is no other meeting that month.","St. Gregory's Episcopal Church Hall","90815-2247","https://www.lbaos.org/","https://www.lbaos.org/"
"Long Island Orchid Society","New York","Hicksville","Meeting Info: 2nd Thursday, monthly, 7:30 p.m. (culture), 8:00 pm (meeting)","Knights of Columbus Hall","11801","www.longislandorchidsociety.org","http://www.longislandorchidsociety.org/"
"Lord Fairfax Orchid Society","Virginia","Winchester","1st Tuesday, monthly, 7:00pm at Bethel Evangelical Lutheran Church - Discipleship Hall - East Entrance, 2077 N Frederick Pike, Winchester, VA 22603","127 Lake Serene Dr","22603","",""
"Los Orquidistas de Borinquen Inc.","San Juan","Saint Just Station","Last Sunday, Monthly, 2:00 pm","PO BOX 1226","00978-1226","http://groups.yahoo.com/group/orquidistas_de_borinquen","http://groups.yahoo.com/group/orquidistas_de_borinquen"
"Magic Valley Orchid Society","Oregon","Ontario","Meeting Info: 2nd Monday, monthly, 7:00 p.m., except July & August","c/o James Huffman","97914","www.mvos.org","http://www.mvos.org/"
"Maine Orchid Society","Maine","South Portland","2nd Monday monthly, 7:00 p.m., except July & August","62 Bonnybriar Rd","04106-6309","",""
"Malibu Orchid Society","California","Pacific Palisades","3rd Tuesdays, except August and December when there are no meetings. 7:00PM","Pacific Palisades Woman's Club","90272","www.malibuorchidsociety.org/","http://www.malibuorchidsociety.org/"
"Malihini Orchid Society","California","Redwood City","2nd Friday, monthly, 7:30 p.m.","c/o Michelle Bautista","94061-2703","http://www.malihini.org/","http://www.malihini.org/"
"Manatee Orchid Society","Florida","Bradenton","2nd Tuesday, monthly, 6:30 PM","Manatee River Garden Club","34205","http://www.manateeorchidsociety.com","http://www.manateeorchidsociety.com/"
"Manatee River Orchid Society","Florida","Palmetto","3rd Monday, monthly 7:00 p.m","P O Box 1885","34220-1885","www.manateeriverorchidsociety.com","http://www.manateeriverorchidsociety.com/"
"Manhattan Orchid Society","New York","New York","2nd Wednesday, September-June","P. O. Box 231581","10023","www.manhattanorchid.org","http://www.manhattanorchid.org/"
"Manitoba Orchid Society","Manitoba","Winnipeg","Every 3rd Sunday at 1:00PM - Monthly. No Meeting in July or August.","Canadian Mennonite Univeristy","R3P 2J1","www.manitobaorchidsociety.ca","http://www.manitobaorchidsociety.ca/"
"Mansfield Orchid Society","Ohio","Mansfield","2nd Saturday, March Through November. Picnic In August. Christmas Dinner. 10:00AM","Mansfield YMCA","44907","",""
"Marin Orchid Society","California","San Rafael","4th Tuesday, monthly, 6:30 p.m, except August and Dec.","The Tamalpais Room, San Rafael Corporate Center","94901","www.MarinOrchidSociety.com","http://www.marinorchidsociety.com/"
"Marlborough Orchid Society","Marlborough","Blenheim","3rd Saturday, monthly except January. 1:30PM","St Andrews Church Hall","7201","",""
"Martin County Orchid Society","Florida","Stuart","4th Thursday, monthly, 7:00 p.m. at the Elks Lodge, 1001 SE Kanner Hwy., Stuart, FL.","PO Box 3211","34995-3211","",""
"Maryland Orchid Society","Maryland","Baltimore","3rd Thursday, monthly, 8:00 p.m. (except July & August) at First Christian Church Hall, 5802 Roland Ave., Barltimore, MD 21210.","17 Maxa Court","21220-1185","www.mdorchids.org","http://www.mdorchids.org/"
"Massachusetts Orchid Society","Massachusetts","Winchester","2nd Tuesday, monthly, 7:00PM","Sons of Italy","01890","www.massorchid.org","http://www.massorchid.org/"
"Maui Orchid Society","Hawaii","Kahului","3rd Tuesday, monthly, 6:30 pm, Wakuku Community Center","Attn: Treasurer","96733-2061","www.mauiorchidsociety.org","http://www.mauiorchidsociety.org/"
"Meeting of Orchid Friends - MOOF","Nebraska","Lincoln","2nd Wednesday, monthly except June and December, 7:00 pm","Hy-Vee - Dining Area","68510","https://www.facebook.com/groups/1542311679405306/","https://www.facebook.com/groups/1542311679405306/"
"Memphis Orchid Society","Tennessee","Memphis","4th Sunday, monthly, 2:00 pm","Memphis Botanic Garden","38117","www.MemphisOrchids.org","http://www.memphisorchids.org/"
"Merritt Huntington Memorial Symposium, Inc.","Virginia","Virginia Beach","","932 Darby Rd","23464-3038","",""
"Miami Orchid Society","Florida","Redland","2nd Monday, monthly, 7:00 pm","25000 SW 162nd Ave.","33031","",""
"Miami Valley Orchid Society","Ohio","Dayton","2nd Wednesday, monthly, 7:00 pm (except August), Cox Arboretum, 6733 Springboro Pike, Dayton, OH","c/o Donna Recktenwalt","45424-4745","www.miamivalleyorchidsociety.com","http://www.miamivalleyorchidsociety.com/"
"Michiana Orchid Society","Indiana","New Carlisle","2nd Saturday, monthly, 1:30 pm","c/o Deb Longworth, Treas","46552-9533","www.community.michiana.org/orchid","http://www.community.michiana.org/orchid"
"Michigan Orchid Society","Michigan","Birmingham","3rd Sunday, Sept, October, Nov, Jan, Feb, April, May. 2:30PM","First Baptist Church","48009","www.miorchids.com","http://www.miorchids.com/"
"Mid Hudson Orchid Society","New York","Newburgh","2nd Sunday, monthly except January and August, 1:00 PM","Union Presbyterian Church","12550","www.mhos.us.com","http://www.mhos.us.com/"
"Mid Lakes Orchid Society","Florida","Leesburg","2nd Tuesday, monthly, except July and August, 7:00 pm at Leesburg Employee Wellness Center, 201 East Dixie Avenue (Venetian Gardians), Leesburg, Florida.","P.O. Box 492204","34749","www.mlos.org","http://www.mlos.org/"
"Mid-America Orchid Congress","Michigan","East Lansing","Irregular, once in spring; once in fall; various locations.","Check website for information; correspondence with Doris Asher","48823","http://www.midamericanorchids.org/","http://www.midamericanorchids.org/"
"Mid-Georgia Orchid Society","Georgia","Perry","2nd Tuesday, monthly, except December. 7:00PM","Houston Lake Baptist Church","31069","",""
"Mobile Area Orchid Society","Alabama","Mobile","2nd Thursday, monthly. 6:00PM","Christ United Methodist Church","36609","https://mobileareaorchidsociety.org","https://mobileareaorchidsociety.org/"
"Montego Bay Orchid Club","Parish of Saint James","Montego Bay","2nd Tuesday, monthly. 5:00PM","Seawind on the Bay","","",""
"Myrtle Beach Orchid Society","South Carolina","Myrtle Beach","","833 Covelo Lane","29579-6675","",""
"Napa Valley Orchid Society","California","Napa","Monthly, 2nd Friday, 7:00 PM","Napa Senior Activity Center","94559","http://nv-os.org/","http://nv-os.org/"
"Naples Orchid Society","Florida","Naples","1st Thursday, monthly, 7:30 pm, at the Moorings Presbyterian Church, 791 Harbour Drive, Naples, FL.","Moorings Presbyterian Church","34103","www.naplesorchidsociety.org","http://www.naplesorchidsociety.org/"
"National Capital Orchid Society","District of Columbia","Washington","3rd Monday of the month, other than federal holiday in which it is the 4th Monday. 7:00PM","National Arbotetum","20002","http://www.ncos.us/","http://www.ncos.us/"
"Native Orchid Conference Inc","Pennsylvania","Douglassville","Four Day Symposium Held At Various Locations In North America","","19518","http://www.nativeorchidconference.info","http://www.nativeorchidconference.info/"
"Nature Coast Orchid Society","Florida","Spring Hill","3rd Saturday, monthly, check website for details. 12:00PM.","Northcliffe Baptist Church","34608","http://www.naturecoastorchidsociety.com/","http://www.naturecoastorchidsociety.com/"
"New Hampshire Orchid Society","New Hampshire","Bedford","2nd Saturday, monthly except August picnic and December holiday gathering, 11:30 am","Bedford Town Hall","03110","www.nhorchids.org","http://www.nhorchids.org/"
"New Mexico Orchid Guild","New Mexico","Albuquerque","2nd Sunday, monthly. 1:30 PM","Albuquerque Garden Center","87112","https://www.nmorchidguild.org/","https://www.nmorchidguild.org/"
"New Orleans Orchid Society","Louisiana","Kenner","3rd Tuesday, monthly (except for December), Basics Discussion at 6:45 PM. Please check monthly newsletter for any possible changes.","Boyd Detachment 579 and Marine League Corps Building","70062","www.neworleansorchidsociety.org","http://www.neworleansorchidsociety.org/"
"Newport Harbor Orchid Society","California","Anaheim","3rd Tuesday, monthly at Costa Mesa CC, 1845 Park Ave, Costa Mesa CA","10622 Patricia Dr","92804-5947","www.nhosinfo.org","http://www.nhosinfo.org/"
"Niagara Frontier Orchid Society","New York","Buffalo","1st Tuesday, montly, 7:00 pm except July and August at the Buffalo and Erie County Botanical Garden, 2655 S. Park Ave., Buffalo, NY 14218","c/o Donna Lipowicz","14227","www.niagarafrontierorchids.org","http://www.niagarafrontierorchids.org/"
"Niagara Region Orchid Society","Ontario","Thorold","2nd Wednesday of each month (except July & August). 7:30 PM","Holy Rosary Church Hall","L2V 3M9","https://www.facebook.com/groups/310428496221206","https://www.facebook.com/groups/310428496221206"
"North Carolina Piedmont Orchid Society","North Carolina","Charlotte","2nd Saturday, monthly, 12 Noon","8120Grier Road","28214","www.NCPiedmontOrchid.org","http://www.ncpiedmontorchid.org/"
"North Jersey Orchid Society","New Jersey","East Hanover","2nd Thursday, monthly, 6:30 pm (November 2022 on Nov. 7)","Hanover Manor","07936","www.njorchids.org","http://www.njorchids.org/"
"North Shore Orchid Society Inc.","State of New South Wales","Sydney","1st Wednesday, monthly, 8:00 PM","","","",""
"North Valley Orchid Society","California","Chico","2nd Tuesday, monthly, 7:30 pm, at C.A.R.D. Center Arts & Crafts Room, 545 Vallombrosa, Chico, CA","c/o Emilee Warne","95973","www.northvalleyorchidsociety.com","http://www.northvalleyorchidsociety.com/"
"Northeastern Pennsylvania Orchid Society","Pennsylvania","Kingston","1st Sunday, monthly, 1:00 pm","Kingston VFW Post 283","18704","",""
"Northeastern New York Orchid Society","New York","Loudonville","1st Saturday, monthly. No meeting in January or July. 1:00PM","William K Sanford Town Library","12211","www.nenyos.com","http://www.nenyos.com/"
"Northeastern Wisconsin Orchid Society","Wisconsin","Green Bay","3rd Tuesday, monthy. February - April and September - November. Christmas Party In January At Local Restaurant. Summer Meetings At Member Homes; Dates Vary. 7:00PM","Green Bay Botanical Garden Visitor Center","54303","www.newisos.org","http://www.newisos.org/"
"Northern Gauteng Orchid Society","","Glenstantia","","c/o Adriaan de Villiers","0010","http://ngos.co.za/","http://ngos.co.za/"
"Northern Nevada Orchid Society","Nevada","Reno","","PO BOX 12662","89510-2662","www.nnvos.org","http://www.nnvos.org/"
"Northland Orchid Society","Wisconsin","South Range","","7851 East Hwy 2","54874","www.northlandorchidsociety.org","http://www.northlandorchidsociety.org/"
"Northwest Orchid Society","Washington","Seattle","2nd Monday, monthly, except August. 7:00PM","University of WA Center for Urban Horticulture","98195","www.nwos.org","http://www.nwos.org/"
"Northwestern Michigan Orchid Society, Inc.","Michigan","Traverse City","2nd Sunday, monthly, except July and August, 2:00 pm","The Presbyterian Church","49686","www.nmorchid.org","http://www.nmorchid.org/"
"Nutmeg State Orchid Society","Connecticut","Unionville","First Sunday, monthly. 1:00PM","Farmington Senior Center","06085","www.nutmegorchids.org","http://www.nutmegorchids.org/"
"Ocean State Orchid Society","Rhode Island","East Greenwich","2nd Saturday, Monthly, 1:00 pm, except July and August","Rocky Hill Grange","02852","www.oceanstateorchidsociety.org","http://www.oceanstateorchidsociety.org/"
"Ocho Rios Orchid Society (OROS)","","St. Ann","","c/o Esti Walker","","",""
"Oklahoma Orchid Society","Oklahoma","Oklahoma City","3rd Sunday, monthly, except Nov and Dec. 1:00 PM","Will Rogers Exhibition Building","73112-1392","okOrchidSociety.org","http://okorchidsociety.org/"
"Olympic Peninsula Orchid Society","Washington","Sequim","2nd Thursday, monthly except for July and August. 1:00PM","First Federal and various other locations","98382","Facebook - Olympic Peninsula Orchid Society","http://Facebook - Olympic Peninsula Orchid Society"
"Orange County Orchid Society","California","Yorba Linda","3rd Wednesday, monthly, 6:30 pm","Yorba Linda Community Center","92886","www.ocos.net","http://www.ocos.net/"
"Orchid Awareness and Education Group","Saint Croix Island","Frederiksted","3rd Saturday, monthly, 10:00 am","Caribbean Museum Center for the Arts","00840","",""
"Orchid Circle of Grenada","Carriacou and Petite Martinique","St. George's","2nd Wednesday, monthly. 5:00PM","GARP Building","","",""
"Orchid Growers Guild","Wisconsin","Madison","3rd Sunday, monthly, September through May. 1:30 PM","Olbrich Botanical Gardens","53704","https://orchidgrowersguild.org/","https://orchidgrowersguild.org/"
"Orchid Hobbyists of Delmarva","Delaware","Delmar","3rd Sunday, monthly, September thru May, 2:00 pm","All Saints Episcopal Church Hall","19940","www.easternshoreorchidlovers.org","http://www.easternshoreorchidlovers.org/"
"Orchid Lovers of Trinidad and Tobago","Arima","","3rd Saturday, monthly","","","",""
"Orchid Research and Development Center - NCKU","Taiwan","Tainan","1st Wednesday, monthly. 7:00PM","National Cheng Kung University","701","",""
"Orchid Society of Alberta","Alberta","Edmonton","3rd Sunday, monthly, 1:00 pm, except July, August and December","PO Box 31117","T5Z 3P3","www.orchidsalberta.com","http://www.orchidsalberta.com/"
"Orchid Society of California","California","Oakland","3rd Monday, monthly, 7:00 pm","PO Box 20272","94620","www.orchidsocietyofca.org","http://www.orchidsocietyofca.org/"
"Orchid Society of Coral Gables","Florida","Miami","1st Tuesday, monthly, 7:00 pm","P.O. Box 560092","33256-0092","www.oscgoline.org","http://www.oscgoline.org/"
"Orchid Society of Greater KS City","Kansas","Merriam","2nd Sunday of the month. No July meeting. Check website for changes. 2:15PM; (Until the Covid pandemic is over, meetings are held via Zoom)","Merriam Community Center","66202","www.osgkc.org","http://www.osgkc.org/"
"Orchid Society of Greater St. Louis, Inc.","Missouri","Saint Louis","2nd Friday, monthly except July and August, 7:00 pm","Missouri Botanical Gardens","63110","www.osogsl.org","http://www.osogsl.org/"
"Orchid Society of Highlands County","Florida","Sebring","4th Monday, monthly except December. 7:00PM","Atonement Lutheran Church","33870","http://orchidsocietyhighlands.org","http://orchidsocietyhighlands.org/"
"Orchid Society of Mauritius","","Quatre-bornes","4th Friday, monthly, 6 pm","P.O. Box 10","","http://orchid-mauritius.intnet.mu","http://orchid-mauritius.intnet.mu/"
"Orchid Society of Minnesota","Minnesota","Minneapolis","3rd Saturday, monthly, except July, September (Plant Sale), and December(Holiday Party). 1:00 PM","Bachman's Garden Center","55419","http://www.orchidsocietyofminnesota.org/","http://www.orchidsocietyofminnesota.org/"
"Orchid Society of Northern Nevada","Nevada","Reno","1st Thursday, monthly. March and October: Orchid Society Show And Sale; July: Picnic, September: Greenhouse Tour, December: Christmas Party For Members Only. 7:00 PM.","Moana Nursery - Landscape and Design Center","89509","https://osnnv.org/","https://osnnv.org/"
"Orchid Society of NW PA","Pennsylvania","Erie","2nd Sunday, monthly, 3:00 pm","4152 Commodore Dr","16505-5712","http://www.erieorchids.org/","http://www.erieorchids.org/"
"Orchid Society of Santa Barbara","California","Santa Barbara","3nd Wednesday, monthly, 7:30 pm. Meeting Location: Louise Lowry Davis Center, 1232 De la Vina St., Santa Barbara, CA","c/o P. J. Sanderson","93103-1707","http://orchidsb.org/","http://orchidsb.org/"
"Orchid Society of Southern California","California","Burbank","2nd Monday, Monthly, 7:00PM","First Christian Church","91501","www.orchidssc.org","http://www.orchidssc.org/"
"Orchid Society of The Ozarks","Arkansas","Lowell","4th Sunday, Monthly, 1:30 pm at Northwest Tech Institute, 709 S. Old Missouri Rd., Springdale, AR","P.O. Box 2142","72745-2142","www.oso-web.org","http://www.oso-web.org/"
"Orchid Society of the Palm Beaches","Florida","West Palm Beach","2nd Thursday, monthly except August and December, 7:00 pm","Mounts Botanical Garden - Auditorium","33415","http://www.orchidsocietyofthepalmbeaches.org/","http://www.orchidsocietyofthepalmbeaches.org/"
"Orchid Society of The Royal Botanical Gardens","Ontario","Burlington","3rd Sunday, monthly, 2:00 pm.","Royal Botanical Gardens","L7T 4H4","www.osrbg.ca","http://www.osrbg.ca/"
"Orchid Society of Western PA","Pennsylvania","Pittsburgh","3rd Sunday, monthly, except July and August. 2:00 PM.","Phipps Garden Center","15232","https://www.oswp.org/","https://www.oswp.org/"
"Orchid Species Preservation Foundation","Alberta","Edmonton","Daily","Orchid Resource Centre and Muttart Conservatory","T6C 5B6","http://orchidspecies.ca","http://orchidspecies.ca/"
"Oregon Orchid Society Inc.","Oregon","Portland","3rd Wednesday, monthly. 7:00PM","Siena Hall","97232","www.oregonorchidsociety.org","http://www.oregonorchidsociety.org/"
"Osterreichische Orchideen Gesellschaft","","A4020 Linz","","p.a. Orelt, Gerhard","","http://www.orchideen.at/","http://www.orchideen.at/"
"Ottawa Orchid Society","Ontario","Ottawa","3rd Sunday, monthly except June, July and August, 1:30 pm","Tom Brown Arena (Currently via Zoom)","K1S 2C8","www.ottawaorchidsociety.com","http://www.ottawaorchidsociety.com/"
"Palomar Orchid Society","California","San Marcos","1st Wednesday, monthly, except the month of auction, 6:30 PM","The Pavillion at Lake San Marcos","92078","http://palomarorchid.org","http://palomarorchid.org/"
"Pan American Orchid Society","Florida","Coconut Grove","3rd Tuesday, Monthly except December, 7:00 pm at Pinecrest Gardens - Hibiscus Room, 11000 Red Road, Pinecrest, FL 33156","c/o Shirley Berckmans","33133","http://panamorchids.com/","http://panamorchids.com/"
"Peninsula Orchid Society, Inc.","California","San Mateo","4th Friday, Monthly (except Dec. 3rd Friday), 7:30 pm, San Mateo Garden Center, 605 Parkside Way, San Mateo, CA","PO Box 6894","94403-6894","www.penorchidsoc.org","http://www.penorchidsoc.org/"
"Plantation Orchid Society","Florida","Plantation","1st Tuesday, Monthly 7:00 PM at Deicke Auditorium, 5701 Cypress Road, Plantation, FL 33317","c/o Rose M. Maytin","33317","http://www.plantationorchidsociety.org","http://www.plantationorchidsociety.org/"
"Platinum Coast Orchid Society","Florida","Rockledge","2nd Wednesday, monthly, except July. 7:00 pm","Cocoa-Rockledge Garden Club","32955","www.platinumcoastorchidsociety.org","http://www.platinumcoastorchidsociety.org/"
"Port St. Lucie Orchid Society","Florida","Port Saint Lucie","2nd Tuesday, monthly except July and August, 1:00 PM","Port Saint Lucie Botanical Gardens","34952","http://www.pslos.org","http://www.pslos.org/"
"Portland Orchid Society","Oregon","Portland","4th Tuesday, monthly 7:00 pm at St. Luke Lutheran Church, Portland, OR","12533 SW 55 Place","97219-7114","www.portlandorchidsociety.org","http://www.portlandorchidsociety.org/"
"Prairie State Orchid Society","Illinois","Springfield","3rd Friday, monthly, 7:00 pm","c/o Ethelene Ferdinand","62703","www.prairiestateorchids.org","http://www.prairiestateorchids.org/"
"Prescott Orchid Society","Arizona","Prescott","4th Sunday, monthly except Dec. TBA, 1:30 pm","Prescott Public Library","86303","",""
"Puerto Rico Orchid Society","San Juan","San Juan","4th Sunday, Monthly, 2:30PM","Metropolitan University (UMET), Arturo Morales Carrion Bldg","00936-1011","https://www.facebook.com/groups/sociedadpuertorriquenadeorquidistas/?ref=bookmarks","https://www.facebook.com/groups/sociedadpuertorriquenadeorquidistas/?ref=bookmarks"
"Ramapo Orchid Society","New Jersey","Norwood","3rd Thursday, monthly, 7:00 pm, Sept-June, Flat Rock Brook Nature Center, Englewood, NJ","125 Dyer Ct.","07648","www.ramapoorchid.org","http://www.ramapoorchid.org/"
"Rhode Island Orchid Society","Rhode Island","Pascoag","Last Saturday, monthly, 12:30 pm., at Roger Williams Botanical Center, Providence, RI.","c/o Judy Gould","02859-3249","www.rhodeislandorchidsociety.org","http://www.rhodeislandorchidsociety.org/"
"Ridge Orchid Society","Florida","Lakeland","4th Tuesday, monthly, 7:00PM, except Nov. & Dec.","Foplodge Building","33813","http://www.ridgeorchidsociety.org/","http://www.ridgeorchidsociety.org/"
"Riverside-San Bernardino Counties Orchid Society","California","San Bernardino","2nd Thursday, monthly, 7:30 pm., at the San Bernardinio County Museum, 2024 Orange Tree Lane, Redlands, CA 92373","PO Box 10423","92423-0423","www.rsbcos.org","http://www.rsbcos.org/"
"Sacajawea Orchid Society","Montana","Bozeman","4th Tuesday, monthly, 7:00 pm.","c/o Nora Brunner","59715","www.sosorchids.com","http://www.sosorchids.com/"
"Sacramento Orchid Society","California","Sacramento","1st Wednesday, monthly, 7:00PM","Odd Fellows Hall","95825","www.sacramentoorchids.org","http://www.sacramentoorchids.org/"
"Saginaw Valley Orchid Society","Michigan","Saginaw","Saturday, on January, May, September, and November. Study groups on off months. 7:00 PM","Thomas Twp Public Safety Building","48609","www.sagvalleyorchids.org","http://www.sagvalleyorchids.org/"
"San Diego County Orchid Society","California","San Diego","1st Tuesday, monthly, 7:30 pm.","c/o Carol Berg","92176-1020","www.sdorchids.com","http://www.sdorchids.com/"
"San Fernando Valley Orchid Society","California","Encino","First Wednesday of Each month. 7:00PM","The Sepulveda Garden Center","91436","https://sfvos.com/","https://sfvos.com/"
"San Francisco Orchid Society","California","San Francisco","1st Tuesday, monthly, 7:00 PM","San Francisco County Fair Building","94122","www.orchidsanfrancisco.org","http://www.orchidsanfrancisco.org/"
"San Joaquin Orchid Society","California","Stockton","4th Monday, monthly, 7:15 pm., San Joaquin Farm Bureau, 3290 N. Ad-Art Rd. Stockton, CA","c/o Anita Cota","95203-2512","www.sanjoaquinorchidsociety.org","http://www.sanjoaquinorchidsociety.org/"
"Sandhills Orchid Society, Inc.","North Carolina","Fayetteville","Tuesday after 2nd Monday, monthly. 7:00 pm.","Holy Trinity Episcopal Church","28303","https://www.sandhillsorchidsociety.com/","https://www.sandhillsorchidsociety.com/"
"Santa Barbara International Orchid Show","California","Santa Barbara","Show annually in March. 9am-5pm during show. days. See website for more information.","Earl Warren Showgrounds","93105","www.sborchidshow.com","http://www.sborchidshow.com/"
"Santa Clara Valley Orchid Society","California","San Jose","7:30 pm, First Wednesday of every month.","The American Legion, Willow Glen Post","95125","http://santaclaravalleyorchidsociety.org","http://santaclaravalleyorchidsociety.org/"
"Santa Cruz Orchid Society","California","Santa Cruz","2nd Friday, monthly, 7:30 pm.","Live Oak Grange","95062","www.santacruzorchidsociety.org","http://www.santacruzorchidsociety.org/"
"Santa Maria Orchid Society","California","Santa Maria","4th Tuesday, monthly. 6:00PM","Quail Medows","93455","",""
"Sarasota Orchid Society","Florida","Sarasota","1st Monday, monthly, 6:00PM","Marie Selby Botanical Gardens","34236","www.sarasotaorchidsociety.org","http://www.sarasotaorchidsociety.org/"
"Saskatchewan Orchid Society","Saskatchewan","Saskatoon","4th Sunday, monthly, 1:30 PM, except June, July, Aug. & Dec.","Box 411","S7K 3L3","www.saskorchids.com","http://www.saskorchids.com/"
"Shreveport Orchid Society","Louisiana","Shreveport","2nd Sunday, monthly, 2:30 pm","Betty Virginia Park Building","71106","www.shreveportorchidsociety.org","http://www.shreveportorchidsociety.org/"
"Smoky Mountain Orchid Society","Tennessee","Andersonville","4th Thursday, 7:30 pm., Room 117 of the Veterinary Sciences Bldg. on the Univ. of Tennessee Agriculture Campus","82 Fishermans Cove Lane","37705-3427","smos.orchids.googlepages.com/","http://smos.orchids.googlepages.com/"
"Sociedad Colombiana de Orquideologia","Florida","Miami","1st Wednesday, monthly, 6:00 pm., Cana de Galilea, Carrera 30 #10C 314, Medellin","C005403","33122","www.sco.org.co","http://www.sco.org.co/"
"Sociedad de Orquidistas de Mayaguez","Mayagüez Municipio","Mayaguez","Sunday before last, monthly, 2:00 pm, Univ of PR-Mayaquez Campus, Pineiro Bldg.","P.O. Box 3575","00681-3575","",""
"Sociedad de Orquidistas del Este de Puerto Rico","Fajardo Municipio","Puerto Real","4th Saturday, monthly, 12:30 pm at Centro Comunal Fajardo Gardens","P.O. Box 4225","00740-4225","",""
"Sociedad de Orquidistas Latinoamericana","Florida","Homestead","1st Saturday, monthly, 12:00PM","RF Orchids Garden","33030","Sociedad Orquidistas Latinoamericana - Facebook","http://Sociedad Orquidistas Latinoamericana - Facebook"
"Sociedad Dominicana de Orquideologia","Provincia de Santo Domingo","Santo Domingo","2nd Saturday, monthly. Meetings generally last 3 hours.","Offices of the National Botanical Garden of Santo Domingo","10605","Facebook - Sociedad Dominicana de Orquideologia","http://Facebook - Sociedad Dominicana de Orquideologia"
"Sociedad Orquidistas del Caribe","Guayama Municipio","Guayama","2nd Saturday, monthly. 1:00PM","Universidad Interamericana Recinto De Guayama","00784","",""
"Società Felsinea di Orchidofilia","Emilia-Romagna","Bologna","1st and 3rd Saturday of the month. 14:30 CA","Circolo ""Il Casalone""","40127","www.orchidofilia.it","http://www.orchidofilia.it/"
"Sonoma County Orchid Society","California","Santa Rosa","2nd Tuesday, monthly. 7:00PM","Veterans Memorial Building","95404","www.sonomaorchids.com","http://www.sonomaorchids.com/"
"South Bay Orchid Society, Inc","California","Rancho Palos Verdes","3rd Friday, monthly, 6:00 pm.","PALOS VERDES ART CENTER - Beverly G. Alpay Center for Arts Education","90275","www.southbayorchidsociety.com","http://www.southbayorchidsociety.com/"
"South Carolina Orchid Society","South Carolina","Clarks Hill","3rd Sunday, monthly, 12:30 pm at the Garden Club Councils of Greater Columbia at Maxcy Gregg Park (corner of blossom & Pickens)","c/o David Grieve","29821","www.scoshome.com","http://www.scoshome.com/"
"South Coast Orchid Society-CA","California","Long Beach","4th Monday of each month, no holidays, starting at 7:00PM. Guests are always welcome. Bring your plants for ribbon judging. Bring a plant that you have a question about. We are here to help and learn from each other. We also host our local AOS Judging Center in the same building as our society meeting. Bring your plants for AOS judging at the same time and place.","Whaley Park Clubhouse","90815","www.southcoastorchidsociety.com","http://www.southcoastorchidsociety.com/"
"South Dade Amateur Orchid Club","Florida","Pinecrest","2nd Thursday, monthly, 7:30 pm","Pinecrest Gardens - Hibiscus Gallery","33156","https://southdadeorchid.org","https://southdadeorchid.org/"
"South Florida Orchid Society","Florida","Pinecrest","3rd Wednesday, monthly. 8:00PM","Pinecrest Gardens","33156","www.sforchid.com","http://www.sforchid.com/"
